"","STATE","YEAR","Enroll","Tot_Revenue","Fed_Revenue","State_Revenue","Local_Revenue","Tot_Expenditure","Inst_Expenditure","State.Min.Wage","Fed.Min.Wage","Effective.Min.Wage","Percent","wage_cat"
"955","California",2012,6203034,69016392,8793325,36413273,23809794,70191877,34213049,8,7.25,8,48.7421771040544,"intermediate"
"956","Colorado",2012,843120,8616009,705634,3702427,4207948,8472536,4174705,7.64,7.25,7.64,49.2733816651827,"intermediate"
"957","Connecticut",2012,522451,10070907,509564,3735476,5825867,9791336,5485615,8.25,7.25,8.25,56.0251941103849,"high"
"958","Delaware",2012,118624,1855867,183793,1090060,582014,1915966,1053066,7.25,7.25,7.25,54.9626663521169,"intermediate"
"959","Florida",2012,2658559,24139266,3068321,8702317,12368628,25352047,13558844,7.67,7.25,7.67,53.4822454376169,"intermediate"
"960","Georgia",2012,1669156,17559894,1862297,7455147,8242450,17400209,9611118,5.15,7.25,7.25,55.2356468821725,"intermediate"
"961","Hawaii",2012,182706,2535038,318728,2161254,55056,2344733,1262938,7.25,7.25,7.25,53.8627639053146,"intermediate"
"962","Idaho",2012,267556,1981482,266087,1238989,476406,1911706,1073312,7.25,7.25,7.25,56.144197904908,"intermediate"
"963","Illinois",2012,2071481,29900021,2430413,10142137,17327471,29067543,14896596,8.25,7.25,8.25,51.2482117941651,"high"
"964","Indiana",2012,1006627,12395432,1096902,7462594,3835936,11351906,5659432,7.25,7.25,7.25,49.8544649682617,"intermediate"
"965","Iowa",2012,495870,6262807,512246,2681035,3069526,6256926,3072424,7.25,7.25,7.25,49.1043685029997,"intermediate"
"966","Kansas",2012,485591,5613619,410051,3173205,2030363,5615714,2935226,7.25,7.25,7.25,52.2680820283939,"intermediate"
"967","Kentucky",2012,681827,7192430,983232,3920971,2288227,7444529,3697663,7.25,7.25,7.25,49.6695358430332,"intermediate"
"968","Louisiana",2012,665478,8477993,1527734,3588546,3361713,8504567,4365583,0,7.25,7.25,51.3322195004167,"intermediate"
"969","Maine",2012,187247,2611056,239982,1012326,1358748,2625759,1376755,7.5,7.25,7.5,52.4326489978707,"intermediate"
"970","Maryland",2012,853778,13752912,859635,5980541,6912736,13212140,7140620,7.25,7.25,7.25,54.0459002099584,"intermediate"
"971","Massachusetts",2012,922683,15763456,979175,6200945,8583336,15696061,8801567,8,7.25,8,56.0750050601868,"intermediate"
"972","Michigan",2012,1421312,18622316,1866406,9796808,6959102,18063824,9070480,7.4,7.25,7.4,50.2135096090396,"intermediate"
"973","Minnesota",2012,799736,10681609,740098,6642440,3299071,10696348,5672620,5.25,7.25,7.25,53.0332408781016,"intermediate"
"974","Mississippi",2012,490619,4477828,795110,2195720,1486998,4423270,2291333,0,7.25,7.25,51.8017891740726,"intermediate"
"975","Missouri",2012,893221,10022622,994192,4115324,4913106,9910617,5056789,7.25,7.25,7.25,51.023957438775,"intermediate"
